latitude,longitude,count
31.086679,120.659264,1
31.16045278,121.2474527,1
31.1622842,121.4068946,9
31.189885,121.269746,1
31.1936875,121.4555472,2
31.21234,121.470674,1
31.219059,121.323843,2
31.221401,121.324266,3
31.2276269,121.4068437,1
31.2295257,121.5158044,1
31.293262,120.609775,1
31.2974197,121.5036178,2
31.3044799,121.6187973,8
31.3148036,121.382746,3
31.821994,117.28059,2
31.82369,117.31904,1
31.827675,117.19112,1
31.860048,117.257372,5
31.8827699,117.2471304,4
31.887698,117.246045,4
31.896563,117.244954,1
31.9532445,119.1675733,1
31.9927222,34.8172188,1
32.006493,120.886132,2
32.033399,118.842587,33
32.035361,118.869025,10
32.054943,118.764947,2
32.0568391,118.7789602,4
32.080904,118.812736,6
32.102743,114.06685,1
32.1110389,34.8050076,1
32.129897,114.039497,2
32.197581,119.466296,1
32.19932,119.514279,4
32.3820297,-92.1999241,3
32.39065,119.88708,3
32.399078,119.389893,9
32.4207672,119.5277205,2
32.486462,120.476518,2
32.5171602,120.1057011,1
32.8868488,-117.1823458,7
33.599411,119.029348,5
33.8905756,-118.2812855,1
34.069278,-118.4407843,9
34.0699182,-118.4438495,2
34.1857525,-97.0867899,3
34.1984628,117.1842698,1
34.262298,108.073742,18
34.2947634,117.4517644,1
34.603664,112.422678,1
34.731536,114.010605,1
34.745974,117.53768,3
34.771556,113.685122,1
34.7854718,113.6632032,26
34.808071,113.53581,2
34.808921,114.369752,9
34.814913,113.55702,2
34.827097,114.318631,1
35.0379614,110.9885766,2
35.0734331,115.5611632,1
35.124632,118.288071,2
35.1530444,128.1010899,5
35.3268663,113.9159103,4
35.38449,116.607296,1
35.5088645,126.8370104,3
35.6411275,139.6321403,1
35.78517011,-78.68046701,1
35.8311352,127.0561373,4
35.8893582,-78.8654029,2
35.90302624,-78.8591907,2
35.9900355,-78.8898264,79
35.99012121,-78.89092283,3
36.0281245,140.1021432,1
36.0477699,103.8585624,1
36.061512,114.354998,3
36.082643,103.853777,25
36.090703,103.700763,1
36.11010894,120.4611372,1
36.1264599,128.1996828,4
36.155285,120.487224,1
36.18844,120.50863,2
36.1939376,117.1193702,8
36.2037,120.36569,1
36.20547,117.67865,1
36.25285,118.81995,1
36.321259,120.39659,2
36.3778218,127.3584364,3
36.42809842,127.4369284,1
36.62619,117.17238,1
36.64893,117.029014,3
36.652703,117.042083,2
36.7084734,117.0773869,1
36.722894,118.509845,3
37.0116265,127.2642483,4
37.0478145,35.2979179,1
37.136299,120.623401,1
37.2408589,127.0794907,1
37.4058227,-121.9129943,2
37.4329779,126.8116866,3
37.4343677,126.7876611,1
37.4587211,126.9482167,1
37.4648267,126.9571988,2
37.4876024,121.2794021,1
37.5045563,126.9569379,8
37.5281284,126.92985,1
37.53042,106.26331,1
37.5571759,127.0454092,1
37.56913433,126.8291021,5
37.5760784,127.1935135,1
37.5802219,126.9226047,2
37.588227,126.993606,1
37.5968367,127.0518435,1
37.7291829,112.592125,1
37.8097105,112.5700854,1
37.817051,112.586934,1
37.9763587,114.5212977,1
38.0363787,114.5635167,1
38.115509,114.533286,34
38.33879,117.51983,1
38.66369922,-90.57639294,32
38.850606,115.483441,1
38.880381,121.529021,1
38.898899,116.987485,1
38.9869183,-76.9425543,3
39.083961,117.708631,1
39.102605,117.155262,1
39.1039443,117.1742232,2
39.108067,117.176196,1
39.2048416,-96.586708,2
39.5512226,-119.8123014,2
39.7965923,116.5179335,1
39.9399646,116.4272473,1
39.9438284,116.2870162,18
39.9483768,116.3088913,6
39.959662,116.327333,15
39.961188,116.328189,9
39.961638,116.325058,1
39.9619537,116.3662615,1
39.9628214,116.3269465,80
39.9642823,116.3313787,1
39.986913,116.3058739,3
39.9892448,116.3249796,3
39.9927842,116.3199535,1
39.9935072,116.2160961,9
39.9996674,116.3264439,1
40.002907,116.247177,1
40.004202,116.352988,33
40.004488,116.3499723,3
40.0051991,116.3813791,10
40.022621,116.2860293,1
40.0255065,116.2843989,1
40.032423,116.3077686,3
40.0330602,116.2740991,1
40.03936245,116.395886,1
40.040237,116.39679,1
40.0426729,116.2981529,1
40.0601297,-76.0696993,14
40.0707011,-75.4644678,2
40.092594,116.30938,2
40.1631226,-76.6461019,31
40.4645585,-86.928136,1
40.4757766,-74.4289684,1
40.5017645,-74.4479342,1
40.6332854,-74.0122981,1
40.719383,-73.584118,1
40.7323585,-73.9873367,1
40.7458918,-73.9869224,1
40.7459698,-73.9869095,1
40.750777,-73.9792219,1
40.7508732,-73.9839671,1
40.7530733,-73.8269805,1
40.758878,111.685489,1
40.7614858,-73.902429,1
40.76151175,-73.89986025,2
40.7618697,-73.9682923,1
40.7626591,-73.9696518,2
40.7720992,111.6673801,1
40.7761443,-73.9570602,1
40.7773301,-74.4269912,18
40.7794438,-73.9547643,1
40.7893854,-73.9703975,2
40.792096,-73.975166,1
40.7969171,-77.8613205,2
40.7992578,-77.8617846,1
40.9041902,-73.9686547,1
40.9806198,-74.2545021,1
41.821328,123.57225,8
41.8775365,12.5535792,1
42.3628314,-71.0888228,3
42.367206,-71.0907955,2
42.36844881,-71.07831519,7
42.374422,-71.1182765,1
42.3744368,-71.1182488,2
42.728255,-73.6784013,1
43.598269,121.3295017,2
43.7650239,87.6163306,1
43.8138695,125.406601,3
43.8141912,87.5738005,7
43.82572,125.2850161,1
43.862026,125.331441,1
43.957271,126.478751,3
43.957582,126.4698059,4
44.001519,125.399287,3
44.97399,-93.2277285,1
44.9753198,-93.2279939,10
44.9799458,-93.2598765,1
45.5298613,-73.7933624,2
45.7240008,126.6403002,4
45.7335323,-73.4060832,1
45.73547,126.725765,2
45.763191,126.6643229,1
46.7817463,-71.2747424,1
46.88572,130.28944,3
47.5522214,7.9640805,2
47.6089226,-52.6778984,1
47.6567171,-122.3066182,1
48.2956,125.39423,2
48.85802018,2.345366826,2
51.0285861,13.7313505,1
51.7526544,-1.2164703,1
51.753007,-1.291241,7
51.8149087,9.884365,32
51.9763484,5.6461028,17
52.1702301,0.1365461336,1
52.7977066,-0.1498968,2
55.8271038,37.5574356,9
